Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-03,19:45:00,7.13,7.13,7.125,7.13,2200,0
2015-12-03,19:50:00,7.13,7.13,7.12,7.12,1200,0
2015-12-03,19:55:00,7.12,7.12,7.1138,7.12,2758,0
2015-12-03,20:00:00,7.115,7.115,7.09,7.1,1500,0
2015-12-03,20:05:00,7.09,7.09,7.06,7.06,1163,0
2015-12-03,20:10:00,7.05,7.05,7.04,7.05,1310,0
2015-12-03,20:15:00,7.06,7.08,7.06,7.08,1000,0
2015-12-03,20:20:00,7.07,7.07,7.06,7.06,600,0
2015-12-03,20:25:00,7.055,7.055,7.055,7.055,700,0
2015-12-03,20:30:00,7.04,7.04,7.02,7.04,1400,0
2015-12-03,20:35:00,7.04,7.04,7.04,7.04,700,0
2015-12-03,20:40:00,7.05,7.05,7.04,7.05,1700,0
2015-12-03,20:45:00,7.04,7.06,7.03,7.04,1572,0
2015-12-03,20:50:00,7.035,7.035,7.035,7.035,100,0
2015-12-03,20:55:00,7.04,7.06,7.04,7.06,1500,0
2015-12-03,21:00:00,7.075,7.075,7.07,7.07,600,0
2015-12-03,21:05:00,7.07,7.07,7.05,7.05,3700,0
2015-12-03,21:10:00,7.05,7.05,7.05,7.05,100,0
2015-12-03,21:15:00,7.04,7.05,7.04,7.04,405,0
2015-12-03,21:20:00,7.05,7.05,7.04,7.04,300,0
2015-12-03,21:25:00,7.04,7.05,7.04,7.04,700,0
2015-12-03,21:30:00,7.05,7.06,7.05,7.05,3065,0
2015-12-03,21:35:00,7.04,7.04,7.01,7.04,2438,0
2015-12-03,21:40:00,7.04,7.05,7.04,7.05,1768,0
2015-12-03,21:45:00,7.05,7.0598,7.03,7.04,1800,0
2015-12-03,21:50:00,7.03,7.045,7.03,7.045,2000,0
2015-12-03,21:55:00,7.04,7.05,7.03,7.05,3819,0
2015-12-03,22:00:00,7.06,7.06,7.04,7.05,25982,0
2015-12-04,15:35:00,7.03,7.08,6.99,7.01,5557,0
2015-12-04,15:40:00,7.01,7.03,6.96,7.03,2000,0
2015-12-04,15:45:00,7.13,7.13,7.03,7.03,1600,0
2015-12-04,15:50:00,7.07,7.07,7.03,7.03,200,0
2015-12-04,16:00:00,7.03,7.03,7.03,7.03,200,0
2015-12-04,16:15:00,7.02,7.05,7.02,7.05,1814,0
2015-12-04,16:25:00,7.05,7.05,7.01,7.01,400,0
2015-12-04,16:40:00,7.03,7.1,7.03,7.07,2485,0
2015-12-04,16:45:00,7.06,7.08,7.06,7.07,900,0
2015-12-04,16:55:00,7.08,7.12,7.08,7.12,800,0
2015-12-04,17:00:00,7.12,7.12,7.1,7.1,3300,0
2015-12-04,17:10:00,7.1,7.11,7.07,7.09,3036,0
2015-12-04,17:15:00,7.1,7.1,7.08,7.08,434,0
2015-12-04,17:20:00,7.09,7.09,7.07,7.0701,4300,0
2015-12-04,17:25:00,7.07,7.07,7.04,7.06,2150,0
2015-12-04,17:30:00,7.06,7.06,7.01,7.01,6419,0
2015-12-04,17:35:00,7.02,7.03,7.02,7.03,300,0
2015-12-04,17:40:00,7.05,7.05,7.05,7.05,100,0
2015-12-04,17:55:00,7.045,7.045,7,7,2200,0
2015-12-04,18:00:00,7.02,7.02,7,7.01,600,0
2015-12-04,18:10:00,7.015,7.06,7,7,11594,0
2015-12-04,18:15:00,7.02,7.06,7.02,7.05,4111,0
2015-12-04,18:20:00,7.05,7.09,7.04,7.06,5907,0
2015-12-04,18:25:00,7.0668,7.11,7.0668,7.1,6500,0
2015-12-04,18:30:00,7.105,7.11,7.09,7.1,4800,0
2015-12-04,18:35:00,7.1,7.1,7.09,7.1,1200,0
2015-12-04,18:40:00,7.11,7.11,7.09,7.0901,1000,0
2015-12-04,18:45:00,7.1,7.1,7.09,7.09,900,0
2015-12-04,19:05:00,7.1,7.1,7.09,7.09,2300,0
2015-12-04,19:10:00,7.095,7.0999,7.09,7.0999,1100,0
2015-12-04,19:15:00,7.095,7.1,7.09,7.095,2400,0
2015-12-04,19:20:00,7.095,7.1,7.09,7.09,1200,0
2015-12-04,19:25:00,7.1,7.11,7.05,7.07,21254,0
2015-12-04,19:30:00,7.07,7.07,7.02,7.03,8198,0
2015-12-04,19:35:00,7.04,7.07,7.03,7.05,800,0
2015-12-04,19:40:00,7.06,7.06,7,7.01,15594,0
2015-12-04,19:45:00,7.01,7.01,7.01,7.01,2501,0
2015-12-04,19:50:00,7.01,7.01,7,7.01,1499,0
2015-12-04,19:55:00,7,7.01,7,7.01,800,0
2015-12-04,20:00:00,7.01,7.01,7.0001,7.01,1200,0
2015-12-04,20:05:00,7.02,7.04,7.02,7.04,1550,0
2015-12-04,20:10:00,7.05,7.05,7.05,7.05,100,0
2015-12-04,20:15:00,7.05,7.05,7.05,7.05,100,0
2015-12-04,20:20:00,7.05,7.06,7.045,7.0525,2000,0
2015-12-04,20:25:00,7.04,7.045,7.02,7.03,5500,0
2015-12-04,20:30:00,7.03,7.04,7.03,7.04,700,0
2015-12-04,20:35:00,7.05,7.05,7.05,7.05,100,0
2015-12-04,20:40:00,7.045,7.05,7.045,7.05,200,0
2015-12-04,20:45:00,7.05,7.05,7.04,7.05,1200,0
2015-12-04,20:50:00,7.0499,7.06,7.0499,7.06,900,0
2015-12-04,20:55:00,7.06,7.07,7.06,7.07,300,0
2015-12-04,21:00:00,7.09,7.09,7.09,7.09,400,0
2015-12-04,21:05:00,7.09,7.09,7.06,7.06,2500,0
2015-12-04,21:10:00,7.08,7.08,7.06,7.08,1300,0
2015-12-04,21:15:00,7.07,7.07,7.05,7.055,2900,0
2015-12-04,21:20:00,7.06,7.09,7.055,7.06,3050,0
2015-12-04,21:25:00,7.075,7.084,7.07,7.084,1000,0
2015-12-04,21:30:00,7.08,7.09,7.075,7.08,1000,0
